dataset,experiment,representation,clustering_method,seed_count,sample_size,silhouette_mean,calinski_harabasz_mean,davies_bouldin_mean,n_clusters_mean,noise_ratio_mean,embedding_time_s_mean,clustering_time_s_mean,peak_memory_mb_mean,silhouette_std,calinski_harabasz_std,davies_bouldin_std,n_clusters_std,noise_ratio_std,embedding_time_s_std,clustering_time_s_std,peak_memory_mb_std,combo,total_runtime_s_mean,silhouette_score,calinski_harabasz_score,davies_bouldin_score,noise_ratio_score,runtime_score,memory_score,multi_metric_score
scenario-1,optimal,tfidf,hdbscan,5,50000,0.9283946514129638,15756.32359354114,0.3950300819060596,366.8,0.104028,2.4526,63.274,92.0564,0.0026133626538336,1574.885701958527,0.0067428334673426,5.449770637375483,0.0045000133333135,1.3428835764875524,19.717272250491444,40.77112039544658,tfidf + hdbscan,65.7266,1.0,0.19780529578473027,0.9705784614230661,0.6355878767497583,0.8593661872190812,0.928175396822516,0.7652522029998586
scenario-1,optimal,tfidf,dbscan,5,50000,0.9244371056556702,79365.51000612557,0.2200319844086447,567.4,0.086284,2.4526,7.702,92.0564,0.0032956843513935,26489.42183374982,0.0107031610233482,141.25968993311574,0.0093723572275068,1.3428835764875524,1.4594259145294084,40.77112039544658,tfidf + dbscan,10.1546,0.9960184889374392,1.0,1.0,0.697745456583575,0.9940036748387897,0.928175396822516,0.9359905028637199
scenario-1,optimal,sbert,hdbscan,5,50000,0.9220574617385864,3070.882391132011,3.4466011153736984,182.2,0.285468,47.0164,88.1196,296.627,0.0040657137743764,486.0116303218495,0.4696357197382122,30.638211436048287,0.0118994335999659,2.9160087105494057,28.354501993510667,0.2882282081962182,sbert + hdbscan,135.136,0.9936244348539549,0.0378253569249317,0.4575333702742983,0.0,0.6912040330192792,0.0,0.36336453251207734
scenario-1,optimal,word2vec,hdbscan,5,50000,0.9155588030815124,5177.310907525714,2.699086123661292,129.0,0.235788,6.256,75.6088,77.2634,0.0044602304659749,441.6271901591051,0.4383515473285269,2.121320343559645,0.0035357771422984,5.654703484710758,19.98799331348697,35.67903896968078,word2vec + hdbscan,81.8648,0.9870864229340016,0.06439016455662865,0.5832092574983172,0.1740300138719576,0.820267239858821,0.9952940279708603,0.6040461877817643
scenario-1,optimal,word2vec,dbscan,5,50000,0.8648333787918091,6437.963175808189,0.4686796522049217,635.8,0.134652,6.256,9.3886,77.2634,0.0796394195502611,3792.186677875369,0.1240426037661517,72.90884719977406,0.024820095084427,5.654703484710758,1.840625382852252,35.67903896968078,word2vec + dbscan,15.6446,0.9360538258780283,0.08028863190871374,0.9581961343880274,0.5283114044306192,0.9807027353902869,0.9952940279708603,0.7464744599944226
scenario-1,optimal,tfidf,agglomerative,5,50000,0.7852674126625061,4908.704589887047,0.9095245640125356,100.0,0.0,2.4526,66.4086,92.0564,0.0051793412378116,101.09673952902044,0.0411503833130931,0.0,0.0,1.3428835764875524,7.379319636660276,40.77112039544658,tfidf + agglomerative,68.86120000000001,0.8560060402615725,0.06100268897832328,0.8840791253194897,1.0,0.8517718111179379,0.928175396822516,0.7635058437499732
scenario-1,optimal,tfidf,kmeans,5,50000,0.782728123664856,5049.778859926133,0.8690501920626563,100.0,0.0,2.4526,5.226999999999999,92.0564,0.0046108092572397,93.29928325873014,0.0288947139347088,0.0,0.0,1.3428835764875524,1.6918435211330864,40.77112039544658,tfidf + kmeans,7.679599999999999,0.8534513743511278,0.0627818193006693,0.890883875272375,1.0,1.0,0.928175396822516,0.7892154109577812
scenario-1,optimal,tfidf,gmm,5,50000,0.7176750421524047,2486.5186926355977,1.417070631003917,100.0,0.0,2.4526,8.2238,92.0564,0.0145144559235276,234.03869898264324,0.0752613287180528,0.0,0.0,1.3428835764875524,4.102879074503659,40.77112039544658,tfidf + gmm,10.676400000000001,0.7880043575432626,0.03045576943753807,0.7987479908494216,1.0,0.9927394799017717,0.928175396822516,0.7563538324257516
scenario-1,optimal,word2vec,agglomerative,5,50000,0.6371070981025696,1240.588601968833,1.4440942176562612,100.0,0.0,6.2558,68.89739999999999,77.2634,0.0061176115424781,18.905627308479765,0.0496064477408143,0.0,0.0,5.654977648054853,0.8494694226398114,35.67903896968078,word2vec + agglomerative,75.15319999999998,0.7069485264310121,0.014742967923736713,0.7942046529014716,1.0,0.8365278200414389,0.9952940279708603,0.7246196658780866
scenario-1,optimal,word2vec,gmm,5,50000,0.6319176912307739,948.228969509194,2.204431293186277,100.0,0.0,6.256,8.147,77.2634,0.0089404558634701,5.426729277466031,0.1623378445579472,0.0,0.0,5.654703484710758,2.091246996411471,35.67903896968078,word2vec + gmm,14.403,0.7017276945985299,0.011055932102145921,0.6663730540493188,1.0,0.9837108312772197,0.9952940279708603,0.7263602566663457
